id,subject,relation,defense,inj_mode,inj_strength,max_turns,PSR,first_hit_turn
0,Toyota,origin_country,override,none,1,1,0,None
1,Apollo 11 Moon landing,year,override,none,1,1,0,None
2,Signing of the Declaration of Independence (US),year,override,none,1,1,0,None
3,Ada Lovelace,birth_year,override,none,1,1,0,None
4,penicillin,discoverer,override,none,1,1,0,None
5,Samsung,origin_country,override,none,1,1,0,None
6,Fall of the Berlin Wall,year,override,none,1,1,0,None
7,telephone,inventor,override,none,1,1,0,None
8,Nelson Mandela,birth_year,override,none,1,1,0,None
9,Tokyo,country,override,none,1,1,0,None
